구,빵집명,위치,한줄소개,대표메뉴,비고
유성구 ,그린베이커리,대전 유성구 테크노4로 80-7 1층 101호,쏠티카라멜 휘낭시에의 중독적인 맛,"연어샌드위치, 아보카도 갈릭새우 ",
,꾸드뱅,"대전 유성구 지족동로 146 1,2층 꾸드뱅베이커리",휘낭시에로 입안 가득 행복,"에그타르트, 크림브륄레",
,하루팡,대전 유성구 문화원로 77 예성그랑펠리체 1층 109호,다양한 메론빵의 달콤한 유혹,"야끼소바빵, 메론빵",
,연선흠베이커리카페,대전 유성구 지족로148번길 39-23 연선흠베이커리카페,아메리카노와 어울리는 모든 빵들,고구마 브리오슈,
,르뺑99-1,대전 유성구 온천북로33번길 22-3 101호,아름다운 공간에서 즐기는 빵 한 조각,소라 크림빵,
,베이커리하모니,대전 유성구 상대동로36번길 61-8 1층 상가,치아바타와 소금빵의 환상 조합,"소금빵, 올리브 치아바타 ",
,바울레커피,대전 유성구 관들1길 28 1층,산미 없이 부드러운 아메리카노 한잔,"말차 갸또쇼콜라, 무화과 스콘 ",
,파셀,대전 유성구 죽동로298번길 11 1층 101호,허니 리코타 포카치아의 달콤한 유혹,사워도우,
,후하우스,대전 유성구 계룡로 41 지상1층,다양한 맛으로 즐기는 쌀소금빵 천국,"쌀소금빵, 쌀식빵",
,로라네방앗간,대전 유성구 반석로11번길 65 1층,아침 햇살과 함께하는 올데이 샌드위치,잠봉뵈르,
,Leafful,대전 유성구 죽동로279번길 40 1층,공주 밤의 달콤함이 젤라또에 가득,"초당옥수수카라멜밀푀유, 카이막브레드",
,오드비베이크샵,대전 유성구 원신흥남로42번길 19-12 1층,겉은 바삭 속은 촉촉 소금빵,찹쌀모찌소금빵,
,스프링벅커피 앤 크로와상,대전 유성구 테크노4로 98-8 101호,아늑한 공간에서 즐기는 달콤한 휴식,"잠봉뵈르크로와상, 에그타르트",
,슬로우브레드,대전 유성구 유성대로 1734-1,촉촉한 마늘바게트의 매력,"마들렌, 갈릭바게트",
,로우베이크,대전 유성구 문지로 291 1층 114호,살구잼의 달콤함이 더해진 특별한 잠봉,살구잼 잠봉뵈르,
,리저트베이크샵,대전 유성구 노은서로112번길 84 1층 101호,겉바속촉 소금빵의 완벽한 식감,"하드크랙 소금빵, 소프트 소금빵",
,카페희스밀,대전 유성구 죽동로279번길 80,고풍스러운 홍차 전문점의 매력,애프터눈티세트,
,스모어사이트,대전 유성구 학하로 98 1층 101~104호,쿠키계의 에르메스,"쿠키, 에그타르트",
,소아브,대전 유성구 봉명서로 61-8 1층,프렌치토스트의 퐁신쵹쵹한 매력,프렌치토스트,
,구오베이크샵,대전 유성구 원신흥로40번길 11 1층 101호,소금빵으로 만나는 바삭함의 정석,"마늘바게트, 소금빵",
,어거스트홍미당,대전 유성구 하기로 34-21 어거스트홍미당,탄맛 깊은 아메리카노의 여운,소금빵,
,파이룸,대전 유성구 대학로 39-10 103호 파이룸,가성비 끝판왕 소금빵의 촉촉함,소금빵,
,토우베이크하우스,대전 유성구 신성남로111번길 28 1층,아인슈페너로 완성하는 카페 타임,"화이트롤, 크림 맘모스",
,노른자제과점,대전 유성구 온천서로 47 지상1층,르뱅쿠키로 전하는 달콤한 행복,"에그타르트, 크림브륄레",
,솔미당,대전 유성구 노은동로 111 열매마을 10단지아파트 상가동 1층,건강한 잡곡식빵의 든든함,소프트소금빵,
,라프레즈,대전 유성구 지족북로 49-3 1층 라프레즈디저트카페,레몬차의 적당한 달콤함,"쫀득식빵, 우유롤",
,베이커리 별,대전 유성구 엑스포로539번길 24-11 1층,치즈롤과 키리쉬 케이크의 달콤한 유혹,"토마토 바질페스포카치아, 호밀 샌드위치",
,시나몬 베이커리,대전 유성구 죽동로298번길 86 101호,다양한 맛으로 즐기는 휘낭시에 천국,"푸딩 에그타르트, 밀키마들렌",
,더 베이커,대전 유성구 상대동로2번길 5 1층,치아바타 샌드위치로 느끼는 행복 한입,샌드위치 ,
,우무리카페,대전 유성구 한우물로66번길 11 1층 샵우무리,,굴뚝빵 ,
,블레오셀,대전 유성구 전민로10번길 15 1층,올리브 치아바타가 전하는 풍부한 맛,올리브치아바타,
,이츠올라잇,대전 유성구 대학로145번길 13 1층이츠올라잇,흑임자의 고소함이 가득한 갸또의 매력,"마들렌, 까눌레",
,써틴브레드,대전 유성구 노은로 174,치아바타와 포카치아의 건강한 조합,치아바타 ,
,카페106,대전 유성구 봉명서로 3-4 1층,밤티라미수라떼로 달콤한 휴식,굴뚝빵 ,
,프레너리하우스,"대전 유성구 반석로11번길 8 101호, 102호",밀푀유와 에끌레어의 달콤한 유혹,"프렌치 바게트, 에끌레어",
,마들렌과자점,대전 유성구 은구비서로23번길 9,,마들렌,
,라다크,대전 유성구 반석로 53-20 101호,소금빵과 함께 즐기는 여유로운 시간,소금빵,
,베이커리아른,대전 유성구 대덕대로 588,앙버터 듬뿍 올린 소금빵의 달콤함,"마늘홀릭, 앙버터",
,온고베이커리,대전 유성구 반석로12번길 51 1층 101호,카프레제 샌드위치로 만나는 신선함,"유기농 플레인 사워도우, 소금빵",
,밀로베이크샵,대전 유성구 궁동로18번길 90 1층,다양한 맛의 소금빵 탐험,"탕종베이글, 토마토할라피뇨치아바타",
,대전 유성구 궁동로18번길 90 1층,대전 유성구 죽동로279번길 101 114호,바삭하고 진한 에그타르트의 풍미,"소금빵, 공주밤밭빵",
,아도레,대전 유성구 노은로 150 드래곤랜드 110호,달콤함이 가득한 크림크로와상의 유혹,"뀌니아망, 바닐라 생크림 크로와상",
,소담제빵소,대전 유성구 학하서로20번길 21 1층,국진이빵과 초코쌀식빵의 특별한 조화,"치즈모닝빵, 모찌식빵",
,크리베리,대전 유성구 계룡로 92 유성CJ나인파크,쫀득한 꽈배기와 고소한 밤식빵의 조화,"꽈배기, 밤식빵",
,피브완,대전 유성구 엑스포로123번길 34 102동 125호,다양한 메뉴로 가득한 달콤한 유혹,"곡물바게뜨, 컵프레지에",
,시나피 브런치 로스터리,대전 유성구 은구비서로24번길 45 1층 시나피 브런치 로스터리,잠봉뵈르의 풍미가 살아있는 샌드위치,포카치아 에그베네딕트 브런치,
,빨강벽돌집,대전 유성구 진잠로140번길 41,부드럽게 찢어지는 우유식빵의 매력,생크림케이크,
,크림 인 디저트 카페,대전 유성구 장대로 67-2 지상1층 크림 인,수제청으로 만든 상큼한 에이드 한 잔,바닐라약과쿠키,
,썸머나츠,대전 유성구 원신흥남로41번길 3-2 지상1층,김악힌 케이크로 만나는 색다른 맛,"키티 휘낭시에, 자두 순우유 케이크",
,포카치아 도노,대전 유성구 원신흥남로42번길 6-22 지상1층 포카치아 도노,다양한 메뉴가 가득한 포카치아 도노,프레시 모짜렐라 포카치아 샌드위치,
,Husked,대전 유성구 죽동로279번길 66 1층 허스크드,,"할라피뇨 치즈 소시지, 뺑 오 쇼콜라",
,"베이커리 오늘,도(BAKERY 오늘,DO)",대전 유성구 원신흥로55번길 53-2,뺑오쇼콜라로 전하는 달콤한 행복,"100% 우유식빵, 뺑오쇼콜라",
,블루보이즈,대전 유성구 반석동로40번길 92-29 1층 101호,소금빵과 커피가 만나는 완벽한 순간,바질 소금빵,
,또또찹쌀도나스,대전 유성구 계룡로 41-5,부드러운 꽈배기와 쫄깃 도나스의 조화,찹쌀도너츠,
,씨엘드프랑스과자점,대전 유성구 봉명로 27-11,다양한 빵과 커피의 완벽한 조화,식빵,
,밸더브롯,대전 유성구 대학로163번길 33 1층,다양한 롤 메뉴로 즐기는 달콤한 순간,"초코츄러스휘낭시에, 시나몬롤",
,소심,대전 유성구 지족로364번길 40 1층 201호,소금빵의 고소함이 살아있는 베이커리,소심 바게트,
,시나피 건강빵 연구소,대전 유성구 은구비서로24번길 50 시나피 건강빵 연구소,건강과 맛을 동시에 잡은 통밀빵,"단호박이좋아요샌드위치, 치아바타 불고기 샌드위치 ",
,단정오,대전 유성구 지족로349번길 16 1층,달지 않은 팥앙금이 매력적인 파르페,몽실몽실 감자빵,
,골목숲,대전 유성구 구즉로48번길 33 지상 2층,크린베리호두바게트로 느끼는 행복,비건 식빵,
,맛최고찹쌀꽈배기,대전 유성구 진잠로78번길 55 진잠로78번길55,바삭함 속에 숨은 쫄깃한 맛의 비밀,"꽈배기, 팥도너츠",
,부기스베이크샵,"대전 유성구 가정로 63 지상1층 102, 103호",다양한 풍미의 휘낭시에로 입맛 저격,"휘낭시에, 부기스 스콘",
,디저트 비결,대전 유성구 원신흥남로42번길 6-9 지상1층 103호,겉은 바삭 속은 촉촉한 에그타르트,"바닐라에그타르트, 컵케이크",
,남보현베이커리&커피,대전 유성구 봉산로 40,,"애기궁뎅이, 마늘바게트",
,갓구운빵천국,대전 유성구 봉산로 23,샌드위치에도 딱 맞는 신선한 식빵,식빵,
,오르앤쿠잉,대전 유성구 문지로299번길 129,크림치즈베베로 완성된 크림치즈의 매력,그림치즈베베,
